"BundleId","TrackId","Name"
"app.instabet.betr","1635215598","Betr - Sports & Gaming"
"com.ballytechnologies.quickhitslots","945621521","Quick Hit Casino - Vegas Slots"
"com.bet365.bet365NJ","1465717844","bet365 - Sportsbook & Casino"
"com.bigfishgames.bfcasinouniversalfreemium","538212549","Big Fish Casino: Slots Games"
"com.borgatacasino.casino","756857928","Borgata Casino - Real Money"
"com.boydgaming.stardustcasino","1658649113","Stardust Casino - Real Money"
"com.crowncoinscasino.app","6450413462","CrownCoins Casino"
"com.draftkings.casino","1462060332","DraftKings Casino - Real Money"
"com.draftkings.dknativermg","710535379","DraftKings Fantasy Sports"
"com.draftkings.sportsbook","1375031369","DraftKings: Sports & Casino"
"com.espn.bet","6463805689","theScore Bet Sportsbook Casino"
"com.fanduel.casino","1506229470","FanDuel Casino - Real Money"
"com.fbg.casino","6737852275","Fanatics Casino - Real Money"
"com.gamesys.ballycasino","1590852096","Bally Bet Sportsbook & Casino"
"com.gleaming.slots","6566176181","Gleaming Slots - Win Real Cash"
"com.goldennugget.casino","1632626653","Golden Nugget Online Casino"
"com.hardrockdigital.client.casino","6737067328","Hard Rock Bet Casino"
"com.playmgmcasino.nj","1247519638","BetMGM Casino - Real Money"
"com.prudentowl.ios.lavishluck","6738905436","Lavish Luck Casino"
"com.rushstreetinteractive.ri","1635357259","BetRivers: Casino & Sportsbook"
"com.stake.us","6738114176","Stake US - Casino & Slots"
"com.thrillzzgamesstudio.thrillzz","6499589754","Thrillzz: Social Sportsbook"
"com.topultragame.slotlasvega","1480805172","Cash Tornado Slots - Casino"
"com.wannaapp.us","6474763806","Wanna Parlay - Fantasy Sports"
"com.wynnsports.mi.Wynn","1534017685","Horseshoe Online Casino"
