"BundleId","TrackId","Name"
"co.DilMile.DilMile","879383901","Dil Mil: South Asian Dating"
"co.hinge.mobile.ios","595287172","Hinge Dating App: Match & Date"
"com.3nder.threender","887914690","Feeld: Dating for the Curious"
"com.affinityapps.blk","1253586891","BLK: Black Singles Dating App"
"com.affinityapps.chispa","1289684085","Chispa: Dating App for Latinos"
"com.badoo.Badoo","351331194","Badoo Dating: Meet New People"
"com.cardify.tinder","547702041","Tinder Dating App: Date & Chat"
"com.dattch.dattch","573328837","HER:Lesbian&Queer LGBTQ Dating"
"com.eharmony.singles.SinglesRelease","458272450","eharmony: dating & real love"
"com.grindrguy.grindrx","319881193","Grindr - Gay Dating & Chat"
"com.hiki.ios","1466184914","Hiki: Autism ADHD & ND Dating"
"com.hily.ios","1250946975","Hily Dating App: Meet. Date."
"com.match.match.com","305939712","Match Dating App : Chat & Meet"
"com.match.stir","1576261708","Stir: Single Parent Dating App"
"com.moxco.bumble","930441707","Bumble Dating App: Meet & Date"
"com.muzmatch.muzmatch","969997496","Muzz: Where Muslims Marry"
"com.okcupid.app","338701294","OkCupid Dating: Date Singles"
"com.pof.mobileapp.iphone","389638243","Plenty of Fish : Dating App"
"com.shaadi.iphone","480093204","Shaadi.com Matrimony App"
"com.surgeapp.zoe","1269081011","Zoe: Lesbian Dating & Chat"
"com.taimi.ios","1282966364","Taimi: LGBTQ+ Dating & Meet Up"
"com.thursday.thursdayevents.identifier","6503631996","Thursday Events"
"fr.ftw-and-co.whoozer","489185828","happn: dating app"
"io.cmbus.app","6502307144","Coffee Meets Bagel: Dating App"
"org.getpure.pure-iphone","690661663","PURE: Open-Minded Dating App"
